rank	sandwich	restaurant	description	price	address	phone	website	formatted_address	lat	lng
1.	 BLT	Old Oak Tap	The B is applewood smoked—nice and snappy. The L is arugula—fresh and peppery. The T is a fried green slice—jacketed in cornmeal and greaseless. Slathered with pimiento cheese, the grilled ciabatta somehow stays crisp, providing three distinct layers of crunch. Truly inspired.	$10	2109 W. Chicago Ave., Chicago	773-772-0406	theoldoaktap.com	2109 West Chicago Avenue, Chicago, IL 60622, USA	41.895561	-87.679971
2.	 Fried Bologna	Au Cheval	Thought your bologna-eating days had retired with your lunchbox? Luscious house-cured mortadella dotted with black pepper, sliced thin, and piled into layers on a spongy brioche bun should put you right back in the game. No thermos necessary.	$9	800 W. Randolph St., Chicago	312-929-4580	aucheval.tumblr.com	800 West Randolph Street, Chicago, IL 60607, USA	41.8846582	-87.6476668
3.	 Woodland Mushroom	Xoco	Leave it to Rick Bayless and crew to come up with a vegetarian sandwich—garlicky roasted mushrooms commingling with tangy goat cheese and sharp arugula—as satisfying as the rest of the meat-packed menu. The three-chili salsa is a must-drizzle.	$9.50	445 N. Clark St., Chicago	312-334-3688	rickbayless.com	445 North Clark Street, Chicago, IL 60654, USA	41.8905699	-87.63079499999999
4.	 Roast Beef	Al’s Deli	The Francophile brothers behind this deli, which has been in the family for 63 years, have turned simple ingredients into a sophisticated sandwich that balances savory and sweet: just rare roast beef, fresh tomato, Swiss cheese, and homemade béarnaise sauce on a buttery croissant.	$9.40	914 Noyes St., Evanston, Chicago	847-475-9400	alsdeli.net	914 Noyes Street, Evanston, IL 60201, USA	42.0583217	-87.6837479
5.	 PB&amp;L	Publican Quality Meats	When this place opened in February, it quickly rose to the top tier with its refined roster of sandwiches. Take, for instance, the one with grilled housemade pork belly and lamb sausage. It’s sprinkled with feta, cilantro, and sweet and spicy pipérade and tucked into a toasted, buttered lobster roll. It’s like the quarterback on a team packed with future Hall-of-Famers.	$10	825 W. Fulton Mkt., Chicago	312-445-8977	publicanqualitymeats.com	825 West Fulton Market, Chicago, IL 60607, USA	41.8866372	-87.6485525
6.	 Belgian Chicken Curry Salad	Hendrickx Belgian Bread Crafter	The mom-and-pop aesthetic is a yeast-scented breath of fresh air in glitzy Streeterville, and the bakery turns out one gorgeous chicken salad. Chewy Belgian country bread encapsulates pulled chicken breast sauced with a delicate housemade curry.	$7.25	100 E. Walton St., Chicago	312-649-6717		100 East Walton Street, Chicago, IL 60611, USA	41.9002461	-87.6251662
7.	 Lobster Roll	Acadia	In a town that recently discovered the joys of lobster rolls, nobody does them better than Ryan McCaskey. He flies in fresh crustaceans from Maine daily, poaches them, sprinkles them with paprika and chives, and cradles them in buttery grilled rolls. From the Atlantic to your belly in 24 hours.	$16	1639 S. Wabash Ave., Chicago	312-360-9500	acadiachicago.com	1639 South Wabash Avenue, Chicago, IL 60616, USA	41.85904	-87.62524119999999
8.	 Smoked Salmon Salad	Birchwood Kitchen	Birchwood’s sandwich-slinging virtuosos consistently wow us with their seasonal menus. This time around, they’ve put a fallish slant on salmon salad, adding subtle notes of squash, red onion, sage, and chopped arugula to the mix and smooshing it inside a buttery, toasted sesame bagel.	$10	2211 W. North Ave., Chicago	773-276-2100	birchwoodkitchen.com	2211 West North Avenue, Chicago, IL 60647, USA	41.9101749	-87.6828797
9.	 Atomica Cemitas	Cemitas Puebla	Standing three inches high, the Atomica is something to behold. It’s also a finely tuned blend of textures and spices: Krakus ham, guajillo pork loin, breaded milanesa, avocado, and Oaxacan cheese. For an extra kick, sprinkle salsa over the multitiered meat fiesta.	$9	3619 W. North Ave., Chicago	773-772-8435	cemitaspuebla.com	3619 West North Avenue, Chicago, IL 60647, USA	41.9097385	-87.7176667
10.	 Grilled Laughing Bird Shrimp and Fried Oyster Po’ Boy	Nana	"Grilled Laughing Bird shrimp and fried oyster po’ boy, Nana<br/>
	Will it be shrimp? Or, gee, the oysters? In Cajun country, you are forced to choose. So bless Bridgeport, where the friendly organic joint Nana packs a meal-and-a-half-size baguette with both—grilled Laughing Bird shrimp, perfectly fried oysters—and, for good Midwestern measure, adds housemade giardiniera."	$17	3267 S. Halsted St., Chicago	312-929-2486	nanaorganic.com	3267 South Halsted Street, Chicago, IL 60608, USA	41.8345432	-87.6459543
11.	 Ham and Raclette Panino	Lula Cafe	A crusty ciabatta bun is a flavorsome sponge for oozing Swiss cheese, rich egg yolk, and mustard with sweet-and-sour bursts of black currant. Smoky cured ham seals the deal.	$11	2537 N. Kedzie Blvd., Chicago	773-489-9554	lulacafe.com	2537 North Kedzie Boulevard, Chicago, IL 60647, USA	41.9269438	-87.7072611
12.	 Breaded Steak	Ricobene’s	This is what put Ricobene’s on the map: breaded skirt steak topped with housemade meat sauce on a crusty Turano French roll and finished with your choice of cheese and peppers. It’s juicy and sloppy, and you will finish every last bite.	$11	2537 N. Kedzie Blvd., Chicago	773-489-9554	ricobenespizza.com	2537 North Kedzie Boulevard, Chicago, IL 60647, USA	41.9269438	-87.7072611
13.	 The Hawkeye	Frog n Snail	We didn’t expect a <em>Man v. Food–</em>esque behemoth on Dale Levitski’s menu, but there it was: a shiny egg bun dripping grease from its delectable pan-fried and ground pork innards. And ten minutes later, there it wasn’t.	$14	3124 N. Broadway, Chicago	773-661-9166	frognsnail.com	3124 North Broadway, Chicago, IL 60657, USA	41.9384576	-87.64437679999999
14.	 Chicken Dip	Crosby’s Kitchen	Luscious nuggets of white meat from the kitchen’s rotisserie stand in for the French dip’s usual fatty beef. Swathed in melted Jack cheese and heaped with tomato, onion, and arugula, they fold it into a soft-crisp baguette with authority. The jus is just windowdressing.	$10	3455 N. Southport Ave., Chicago	773-883-2525	crosbyskitchenchicago.com	3455 North Southport Avenue, Chicago, IL 60657, USA	41.9450943	-87.6636925
15.	Longman &amp; Eagle Wild Boar Sloppy Joe	Longman & Eagle	With its toasted brioche, peppery pickled jalapeños, crispy onions, and fried sage, this Joe is a man-size wowzer spilling over with tender, spicy ground boar. It’s better to cheat and use silverware than let any meaty morsels get away.	$13	2657 N. Kedzie Ave., Chicago	773-276-7110	longmanandeagle.com	2657 North Kedzie Avenue, Chicago, IL 60647, USA	41.93006829999999	-87.70713549999999
